Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
9/24/13,48.505,49.66,48.16,48.45,136716100,0,1,48.505,49.66,48.16,48.45,136716100
9/23/13,47.28,47.55,46.29,47.19,75177000,0,1,47.28,47.55,46.29,47.19,75177000
9/20/13,46.32,47.6,45.74,47.49,115508400,0,1,46.32,47.6,45.74,47.49,115508400
9/19/13,45.51,46.05,45.23,45.98,63972400,0,1,45.51,46.05,45.23,45.98,63972400
9/18/13,44.84,45.47,44.395,45.23,79317000,0,1,44.84,45.47,44.395,45.23,79317000
9/17/13,42.5,45.44,42.43,45.07,91934600,0,1,42.5,45.44,42.43,45.07,91934600
9/16/13,44.85,44.94,42.43,42.51,70424200,0,1,44.85,44.94,42.43,42.51,70424200
9/13/13,45.04,45.08,43.93,44.31,52765300,0,1,45.04,45.08,43.93,44.31,52765300
9/12/13,45.53,45.62,44.65,44.75,68072300,0,1,45.53,45.62,44.65,44.75,68072300
9/11/13,43.39,45.09,43.11,45.04,72328300,0,1,43.39,45.09,43.11,45.04,72328300
9/10/13,44.24,44.26,43.23,43.6,54540300,0,1,44.24,44.26,43.23,43.6,54540300
9/9/13,44.36,44.79,43.7,44.04,75794700,0,1,44.36,44.79,43.7,44.04,75794700
9/6/13,43.09,44.61,42.4,43.95,117535700,0,1,43.09,44.61,42.4,43.95,117535700
9/5/13,41.79,42.765,41.77,42.66,50035400,0,1,41.79,42.765,41.77,42.66,50035400
9/4/13,42.01,42.17,41.44,41.78,42581900,0,1,42.01,42.17,41.44,41.78,42581900
9/3/13,41.84,42.165,41.51,41.87,48774900,0,1,41.84,42.165,41.51,41.87,48774900
8/30/13,42.025,42.26,41.06,41.294,67735100,0,1,42.025,42.26,41.06,41.294,67735100
8/29/13,40.89,41.78,40.8,41.28,58303400,0,1,40.89,41.78,40.8,41.28,58303400
8/28/13,39.96,40.85,39.88,40.548,57918200,0,1,39.96,40.85,39.88,40.548,57918200
8/27/13,40.68,41.2,39.42,39.64,72695100,0,1,40.68,41.2,39.42,39.64,72695100
8/26/13,40.9,41.94,40.62,41.34,94162400,0,1,40.9,41.94,40.62,41.34,94162400
8/23/13,39,40.63,38.93,40.55,86442300,0,1,39,40.63,38.93,40.55,86442300
8/22/13,38.37,38.75,38.34,38.55,21931200,0,1,38.37,38.75,38.34,38.55,21931200
8/21/13,38.38,38.85,38.145,38.32,46116900,0,1,38.38,38.85,38.145,38.32,46116900
8/20/13,38.35,38.58,37.69,38.41,57995200,0,1,38.35,38.58,37.69,38.41,57995200
8/19/13,37.43,38.28,37.14,37.81,57609600,0,1,37.43,38.28,37.14,37.81,57609600
8/16/13,36.97,37.49,36.9,37.08,45840800,0,1,36.97,37.49,36.9,37.08,45840800
8/15/13,36.36,37.07,36.0201,36.56,56521100,0,1,36.36,37.07,36.0201,36.56,56521100
8/14/13,36.83,37.55,36.62,36.65,48423900,0,1,36.83,37.55,36.62,36.65,48423900
8/13/13,38.24,38.32,36.77,37.019,65379200,0,1,38.24,38.32,36.77,37.019,65379200
